symbol,name,name_en,sector,sector_en,pe,pb,roe,dividend_yield,debt_equity,net_margin,current_ratio,shariah_debt_ratio,shariah_compliant,revenue_b,net_income_b,total_debt_b,total_assets_b
2222,أرامكو السعودية,Saudi Aramco,الطاقة,Energy,15.8,4.2,27.5,6.8,0.25,25.1,1.32,8.2,True,1580,398,320,2650
1180,الأهلي السعودي,Saudi National Bank,البنوك,Banks,10.2,1.9,18.6,3.5,5.8,42.0,1.05,85.0,False,72,30.2,580,980
1120,الراجحي,Al Rajhi Bank,البنوك,Banks,16.5,3.4,22.1,2.8,5.2,48.5,1.08,0.0,True,38,18.4,0,760
2010,سابك,SABIC,المواد الأساسية,Materials,42.0,1.3,3.1,2.0,0.55,3.8,1.45,18.5,True,148,5.6,65,320
7010,إس تي سي,STC,الاتصالات,Telecom,22.5,3.8,17.2,3.6,0.95,13.5,0.82,28.0,True,73,9.8,52,185
2350,كيان السعودية,Kayan Saudi,المواد الأساسية,Materials,0,0.9,-2.5,0.0,0.72,-5.2,1.15,22.0,True,12.5,-0.65,8.5,38
2280,المراعي,Almarai,إنتاج الأغذية,Food Production,22.8,4.5,20.1,2.2,0.65,10.8,0.95,20.5,True,21.5,2.32,9.8,42
4200,الدريس,Aldrees,التجزئة,Retail,14.5,3.2,22.5,5.5,0.18,4.5,1.25,5.0,True,32,1.44,1.2,12
8210,بوبا العربية,Bupa Arabia,التأمين,Insurance,18.2,5.8,32.5,3.8,0.45,8.2,1.18,12.0,True,18,1.48,3.5,28
3010,أسمنت العربية,Arabian Cement,المواد الأساسية,Materials,19.5,2.1,10.8,4.2,0.08,28.5,2.85,2.5,True,1.2,0.34,0.08,3.8
2060,التصنيع,Tasnee,المواد الأساسية,Materials,12.8,1.1,8.5,3.5,0.62,9.2,1.55,19.0,True,8.5,0.78,4.2,22
1150,بنك الإنماء,Alinma Bank,البنوك,Banks,14.8,2.2,15.2,2.5,4.5,45.0,1.02,0.0,True,14.5,6.5,0,220
4030,البحري,Bahri,النقل,Transport,11.5,1.6,14.2,5.0,0.85,18.5,1.12,25.0,True,9.2,1.7,12,48
2020,سافكو,SAFCO,المواد الأساسية,Materials,18.5,2.8,15.2,4.8,0.05,32.0,3.20,1.5,True,4.8,1.54,0.12,12
4190,جرير,Jarir,التجزئة,Retail,20.5,12.5,62.0,4.5,0.30,8.5,1.35,8.0,True,10.5,0.89,0.8,5.2
4001,عبدالله العثيم,Abdullah Al Othaim,التجزئة,Retail,17.8,5.5,31.0,3.2,0.42,5.5,0.88,12.0,True,16.8,0.92,2.8,14
2310,سبكيم,Sipchem,المواد الأساسية,Materials,25.0,1.5,6.0,2.0,0.75,7.5,1.28,24.0,True,6.2,0.47,5.5,22
4321,الرياض ريت,Riyadh REIT,صناديق الريت,REITs,14.0,0.95,6.8,7.2,0.35,55.0,1.80,15.0,True,0.45,0.25,0.9,5.5
4310,مشاركة ريت,Musharaka REIT,صناديق الريت,REITs,16.5,0.88,5.3,6.5,0.40,48.0,1.65,18.0,True,0.38,0.18,1.1,6.0
1010,الرياض,Riyad Bank,البنوك,Banks,11.5,2.0,17.5,3.8,5.0,44.0,1.04,0.0,False,28,12.3,380,450
1050,البنك السعودي للاستثمار,Saudi Investment Bank,البنوك,Banks,12.0,1.3,11.2,4.0,5.5,38.0,1.01,0.0,False,8.5,3.2,145,195
1060,ساب,SABB,البنوك,Banks,12.8,1.7,13.5,3.2,5.3,40.5,1.03,0.0,False,18.5,7.5,310,420
1080,البنك العربي الوطني,Arab National Bank,البنوك,Banks,10.5,1.4,13.8,4.5,5.1,41.0,1.02,0.0,False,12.8,5.2,210,280
1140,البلاد,Bank Albilad,البنوك,Banks,16.0,2.8,17.8,2.0,4.8,43.0,1.03,0.0,True,9.2,3.95,0,170
2050,صافولا,Savola Group,إنتاج الأغذية,Food Production,28.5,2.5,8.8,2.5,0.85,3.2,1.10,22.0,True,25.5,0.82,8.5,38
2030,المصافي,SARCO,الطاقة,Energy,35.0,6.5,18.5,2.8,0.12,12.5,2.10,3.5,True,1.8,0.22,0.06,1.5
2040,الخزف,Saudi Ceramics,السلع الرأسمالية,Capital Goods,18.0,2.2,12.5,4.0,0.35,14.0,1.65,10.0,True,2.8,0.39,0.5,4.8
2070,المدينة,SPM,المواد الأساسية,Materials,15.5,1.8,11.5,3.0,0.28,16.5,1.90,8.0,True,1.5,0.25,0.3,3.5
2090,الجبس,National Gypsum,المواد الأساسية,Materials,12.0,1.5,12.8,5.5,0.10,22.0,2.50,3.0,True,0.85,0.19,0.04,1.2
2110,ينساب,Yansab,المواد الأساسية,Materials,0,0.85,-3.2,0.0,0.48,-8.5,1.20,15.0,True,6.8,-0.58,3.2,21
2150,زجاج,Zoujaj,المواد الأساسية,Materials,22.0,1.9,8.5,2.5,0.40,10.5,1.45,12.0,True,2.5,0.28,0.6,4.8
2170,اللجين,Alujain,المواد الأساسية,Materials,14.5,1.2,8.2,4.5,0.52,11.0,1.35,16.0,True,3.8,0.42,1.8,11
2250,المجموعة السعودية,Saudi Industrial,المواد الأساسية,Materials,16.0,1.0,6.2,3.8,0.68,8.0,1.18,20.0,True,4.5,0.36,3.2,16
3020,أسمنت اليمامة,Yamama Cement,المواد الأساسية,Materials,21.0,1.8,8.5,3.5,0.05,30.0,3.50,1.5,True,2.0,0.17,0.03,2.2
3030,أسمنت السعودية,Saudi Cement,المواد الأساسية,Materials,17.5,2.0,11.5,5.0,0.10,35.0,2.80,3.0,True,2.5,0.88,0.12,4.0
3040,أسمنت القصيم,Qassim Cement,المواد الأساسية,Materials,15.0,1.6,10.5,5.8,0.03,38.0,4.20,1.0,True,1.1,0.42,0.01,1.8
3050,أسمنت الجنوبية,Southern Cement,المواد الأساسية,Materials,16.5,2.3,14.0,5.2,0.08,32.5,3.10,2.0,True,1.8,0.58,0.05,2.5
4002,المواساة,Mouwasat,المعدات الصحية,Healthcare,25.0,4.8,19.5,1.8,0.55,18.0,1.05,15.0,True,6.2,1.12,2.8,18
4003,إكسترا,eXtra,التجزئة,Retail,19.5,6.8,35.0,3.5,0.48,5.8,0.92,14.0,True,8.5,0.49,1.5,6.5
4004,دله الصحية,Dallah Health,المعدات الصحية,Healthcare,22.0,3.5,16.0,2.2,0.60,12.5,1.15,18.0,True,5.5,0.69,2.5,14
4005,رعاية,Care,المعدات الصحية,Healthcare,30.0,5.2,17.5,1.5,0.42,15.0,1.08,12.0,True,3.8,0.57,1.2,9.5
4007,الحمادي,Al Hammadi,المعدات الصحية,Healthcare,28.0,3.0,10.8,1.8,0.72,10.0,0.85,21.0,True,2.2,0.22,1.1,5.2
4011,لازوردي,Lazurde,السلع المعمرة,Consumer Durables,18.5,2.8,15.2,2.0,0.55,6.0,1.30,16.0,True,1.8,0.11,0.4,2.5
4051,بحر العرب,Bahrri IT,البرمجيات والخدمات,Software & Services,35.0,12.0,34.5,2.5,0.15,28.0,1.85,4.0,True,0.95,0.27,0.05,1.2
4210,الأصيل,Alaseel,إنتاج الأغذية,Food Production,20.0,3.8,19.0,3.0,0.30,9.5,1.40,8.5,True,2.2,0.21,0.3,3.5
4260,بدجت السعودية,Budget Saudi,الخدمات التجارية,Commercial Services,15.0,3.5,23.5,4.5,0.65,15.0,0.78,18.0,True,3.2,0.48,1.5,8.2
4261,ذيب,Theeb,الخدمات التجارية,Commercial Services,13.5,3.2,24.0,4.8,0.70,12.0,0.72,20.0,True,2.8,0.34,1.4,7.0
6010,نادك,NADEC,إنتاج الأغذية,Food Production,25.5,2.2,8.5,1.5,0.58,6.5,1.15,17.0,True,4.5,0.29,1.8,10.5
6020,جاكو,JACO,إنتاج الأغذية,Food Production,18.0,2.5,14.0,3.5,0.22,8.0,1.50,6.0,True,1.2,0.10,0.1,1.5
1020,بنك الجزيرة,Bank Aljazira,البنوك,Banks,13.5,1.5,11.5,3.0,5.4,36.0,1.01,0.0,True,7.8,2.85,0,125
1030,الاستثمار,Saudi Investment Bank,البنوك,Banks,11.8,1.2,10.5,4.2,5.6,35.0,1.01,0.0,False,7.2,2.52,128,160
2001,كيمانول,Chemanol,المواد الأساسية,Materials,0,1.8,-5.5,0.0,0.85,-12.0,0.92,25.0,True,1.5,-0.18,0.95,3.8
2002,المتقدمة,APPC,المواد الأساسية,Materials,18.5,1.4,7.5,2.8,0.42,10.0,1.55,13.0,True,3.2,0.32,1.1,8.2
2160,أميانتيت,Amiantit,المواد الأساسية,Materials,0,0.7,-8.5,0.0,1.20,-15.0,0.75,32.0,True,1.2,-0.18,1.5,4.5
2180,فيبكو,FIPCO,المواد الأساسية,Materials,22.0,1.3,5.8,2.0,0.55,8.5,1.35,16.0,True,0.95,0.08,0.35,2.2
2190,سيسكو,SISCO,المواد الأساسية,Materials,16.5,1.6,9.8,3.2,0.48,12.0,1.42,14.0,True,2.8,0.34,0.8,5.5
2200,أنابيب,Arabian Pipes,المواد الأساسية,Materials,14.0,1.8,13.0,4.0,0.32,9.5,1.55,9.0,True,1.5,0.14,0.2,2.2
2210,نماء للكيماويات,Nama Chemicals,المواد الأساسية,Materials,0,0.95,-4.2,0.0,0.78,-9.8,0.88,23.0,True,2.2,-0.22,1.2,5.2
2220,معدنية,Ma'aden Mining,المواد الأساسية,Materials,28.0,2.5,9.0,1.5,0.65,8.5,1.28,18.0,True,32,2.85,15.5,85
2230,الكيميائية السعودية,Saudi Chemical,المواد الأساسية,Materials,15.0,2.0,13.5,4.5,0.38,8.0,1.48,11.0,True,2.8,0.22,0.5,4.5
2240,الزامل للصناعة,Zamil Industrial,السلع الرأسمالية,Capital Goods,0,1.5,-2.8,0.0,0.92,-3.5,0.85,28.0,True,5.5,-0.19,2.8,10
2290,ينبع الوطنية,Yanbu National Petro,المواد الأساسية,Materials,15.5,1.4,9.2,5.0,0.35,15.0,1.65,10.0,True,6.5,0.98,1.8,18
2300,صناعة الورق,SPM Paper,المواد الأساسية,Materials,18.0,1.5,8.2,3.0,0.45,6.5,1.38,13.0,True,1.2,0.08,0.22,1.7
2320,البابطين,Al Babtain,السلع الرأسمالية,Capital Goods,12.5,1.8,14.5,5.0,0.40,7.5,1.28,12.0,True,3.5,0.26,0.6,5.0
2330,المتطورة,APPC Advanced,السلع الرأسمالية,Capital Goods,16.0,1.2,7.5,3.5,0.55,5.5,1.15,16.0,True,2.8,0.15,0.75,4.5
2340,العبداللطيف,Alabdullatif,السلع الرأسمالية,Capital Goods,0,0.8,-5.0,0.0,0.88,-8.5,0.78,26.0,True,1.8,-0.15,0.85,3.2
2360,الحكير,Fawaz Alhokair,التجزئة,Retail,0,2.2,-12.0,0.0,1.85,-18.0,0.55,42.0,False,5.5,-0.99,5.8,14
2370,مسك,Misk,المواد الأساسية,Materials,14.0,1.1,7.8,3.5,0.42,10.5,1.45,12.5,True,1.5,0.16,0.35,2.8
2380,بترو رابغ,Petro Rabigh,المواد الأساسية,Materials,0,1.5,-8.0,0.0,1.25,-12.5,0.72,35.0,False,52,-6.5,28,80
2381,الحفر العربية,Arabian Drilling,الطاقة,Energy,18.0,3.5,19.5,2.5,0.45,15.0,1.25,12.0,True,8.5,1.28,2.8,23
2382,أديس,ADES,الطاقة,Energy,14.5,2.8,19.2,1.0,0.85,18.5,1.15,24.0,True,12.5,2.31,8.5,35
3001,حلواني,Halwani Bros,إنتاج الأغذية,Food Production,16.0,2.5,15.8,3.5,0.38,7.5,1.35,10.5,True,2.2,0.17,0.3,2.8
3002,الجوف الزراعية,Al Jouf Agriculture,إنتاج الأغذية,Food Production,28.0,1.8,6.5,2.0,0.25,12.0,1.85,7.0,True,0.65,0.04,0.05,0.7
3003,أسمنت المدينة,City Cement,المواد الأساسية,Materials,18.0,1.5,8.2,4.5,0.12,25.0,2.50,3.5,True,0.75,0.19,0.04,1.1
3004,أسمنت الشمالية,Northern Cement,المواد الأساسية,Materials,20.0,1.2,6.0,3.8,0.15,22.0,2.20,4.5,True,0.55,0.11,0.03,0.65
3005,أسمنت أم القرى,Umm Al-Qura Cement,المواد الأساسية,Materials,25.0,1.0,4.0,2.5,0.22,18.0,1.95,6.5,True,0.48,0.05,0.04,0.58
3007,زهرة الواحة,Zahrat Al Waha,إنتاج الأغذية,Food Production,15.0,2.2,14.8,4.0,0.35,8.5,1.45,10.0,True,1.5,0.13,0.2,2.0
3008,الحائل الزراعية,HADCO,إنتاج الأغذية,Food Production,22.0,1.5,6.8,2.5,0.30,10.0,1.60,8.5,True,0.85,0.06,0.08,0.95
3060,أسمنت ينبع,Yanbu Cement,المواد الأساسية,Materials,14.5,1.8,12.5,5.5,0.05,35.0,3.80,1.2,True,1.5,0.52,0.03,2.0
3080,أسمنت الشرقية,Eastern Cement,المواد الأساسية,Materials,16.0,1.4,8.8,4.8,0.08,30.0,3.20,2.0,True,0.92,0.28,0.03,1.5
3090,أسمنت تبوك,Tabuk Cement,المواد الأساسية,Materials,22.0,1.1,5.0,3.0,0.10,20.0,2.40,3.0,True,0.42,0.09,0.02,0.55
3091,أسمنت الجوف,Al Jouf Cement,المواد الأساسية,Materials,0,0.8,-2.5,0.0,0.18,-15.0,1.80,5.5,True,0.22,-0.03,0.02,0.35
3092,أسمنت الرياض,Riyadh Cement,المواد الأساسية,Materials,18.0,1.3,7.2,4.0,0.10,28.0,2.85,2.8,True,0.65,0.18,0.03,0.95
4006,أسواق المزرعة,Farm Superstores,التجزئة,Retail,22.0,4.2,19.0,2.5,0.38,4.5,0.95,10.5,True,8.5,0.38,1.2,11.5
4008,ساكو,SACO,التجزئة,Retail,25.0,8.5,34.0,3.0,0.32,8.0,1.10,9.0,True,5.2,0.42,0.6,6.5
4009,السعودية للتنمية الصناعية,SSIP,السلع الرأسمالية,Capital Goods,14.0,1.0,7.2,4.5,0.48,12.0,1.45,14.0,True,0.42,0.05,0.08,0.55
4010,دور,Dur Hospitality,الفنادق والسياحة,Hotels & Tourism,20.0,2.8,14.0,2.5,0.55,15.0,0.85,16.0,True,1.8,0.27,0.65,4.0
4012,الصادرات,Saudi Export,إنتاج الأغذية,Food Production,25.0,3.0,12.0,2.0,0.42,6.0,1.25,12.0,True,1.0,0.06,0.15,1.2
4013,سمو,Sumo,البرمجيات والخدمات,Software & Services,32.0,8.5,26.5,1.5,0.22,22.0,1.65,6.0,True,0.55,0.12,0.04,0.65
4014,دار المعدات,Dar Al Arkan Equipment,السلع الرأسمالية,Capital Goods,16.5,2.0,12.0,3.5,0.60,8.5,1.10,17.0,True,1.2,0.10,0.3,1.8
4015,جمجوم,Jamjoom Pharma,الأدوية,Pharma,28.0,7.5,26.8,2.0,0.18,25.0,1.85,5.0,True,2.8,0.70,0.18,3.5
4020,العقارية,Saudi Real Estate,إدارة وتطوير العقارات,Real Estate,18.0,0.8,4.5,3.5,0.42,18.0,1.55,12.0,True,2.5,0.45,0.8,6.5
4031,لوبريف,LUBEREF,الطاقة,Energy,12.0,3.8,32.0,6.5,0.52,18.0,1.25,15.0,True,8.2,1.48,3.5,23
4040,سيسكو القابضة,SISCO Holding,النقل,Transport,18.0,2.2,12.2,2.5,0.65,10.5,1.05,18.0,True,3.5,0.37,1.8,10
4050,ساسكو,SASCO,الطاقة,Energy,16.5,2.5,15.2,4.0,0.48,8.5,1.15,13.5,True,5.8,0.49,1.5,11
4061,أنعام القابضة,Anaam Holding,إنتاج الأغذية,Food Production,0,1.2,-3.5,0.0,0.75,-8.0,0.82,22.0,True,0.55,-0.04,0.15,0.68
4070,تهامة,Tihama,الإعلام والترفيه,Media & Entertainment,0,1.5,-10.0,0.0,0.92,-25.0,0.65,28.0,True,0.35,-0.09,0.12,0.42
4071,ثوب الأصيل,Thob Al Aseel,السلع المعمرة,Consumer Durables,15.0,2.2,14.8,4.5,0.18,12.0,1.85,5.0,True,0.85,0.10,0.04,0.78
4080,سناد القابضة,Sinad Holding,الخدمات التجارية,Commercial Services,20.0,1.8,9.0,2.5,0.35,8.5,1.40,10.0,True,0.65,0.06,0.08,0.78
4081,النايفات,Alnayifat,التمويل,Diversified Finance,12.0,2.5,21.0,5.5,1.80,28.0,1.15,42.0,False,0.85,0.24,0.95,2.25
4082,مرنة,Marnah,التمويل,Diversified Finance,18.0,3.2,17.8,3.0,1.50,22.0,1.08,38.0,False,0.45,0.10,0.52,1.35
4090,طيبة,Taiba,إدارة وتطوير العقارات,Real Estate,14.0,1.2,8.5,5.0,0.28,35.0,1.95,8.0,True,1.5,0.52,0.25,3.2
4100,مكة للإنشاء,Makkah Construction,إدارة وتطوير العقارات,Real Estate,16.0,1.0,6.2,4.5,0.15,42.0,2.20,4.5,True,0.85,0.36,0.08,1.8
4110,باعظيم,Bawan,السلع الرأسمالية,Capital Goods,11.5,2.0,17.5,5.5,0.45,6.5,1.25,13.0,True,4.2,0.27,0.85,6.5
4130,الباحة,Al Baha,الفنادق والسياحة,Hotels & Tourism,0,0.6,-12.0,0.0,0.55,-35.0,0.92,16.0,True,0.12,-0.04,0.02,0.15
4140,سداقة,Sadaqah,الخدمات التجارية,Commercial Services,25.0,3.5,14.0,2.0,0.32,10.0,1.30,9.0,True,0.42,0.04,0.04,0.42
4141,العمران,Al Omran,السلع الرأسمالية,Capital Goods,16.0,2.5,15.5,3.5,0.38,8.0,1.35,11.0,True,1.5,0.12,0.22,2.0
4142,كابلات الرياض,Riyadh Cables,السلع الرأسمالية,Capital Goods,14.0,4.5,32.0,4.5,0.28,10.5,1.20,8.0,True,5.8,0.61,0.5,6.2
4150,التصنيع المتقدمة,SIIG,المواد الأساسية,Materials,12.0,1.5,12.5,4.0,0.55,14.0,1.35,16.0,True,2.5,0.35,0.8,5.0
4160,ثمار,Thamar,إنتاج الأغذية,Food Production,0,0.9,-5.0,0.0,0.62,-12.0,0.88,18.0,True,0.35,-0.04,0.08,0.42
4161,بن داود,BinDawood,التجزئة,Retail,28.0,3.8,13.5,2.0,0.25,4.2,0.85,7.0,True,8.5,0.36,0.8,11.5
